OBJECTID,SOURCE,VIL_UID,CENTER,CNTR_CODE,AFG_UID,POPULATION,LANGUAGE_,LANG_CODE,ELEVATION,LAT_Y,LON_X,MISTI_PROV,MISTI_DIST,VILLAGE_NA,DIST_CODE,DIST_NA_EN,DIST_NA_DA,PROV_NA_EN,PROV_NA_DA,PROV_CODE
1,CSO AIMS Villages (ACSOR),QLT-113,NA,0,ZBL-QLT-113,0,Pashto,2,1716.072021,32.25638,66.71265,ZBL,QLT,Enjergay,2401,Qalat,????,Zabul,????,24
24,USAID AIDVillageView,KHU-044,NA,0,GZN-KHU-044,0,Dari,1,2526.574951,33.6521,68.3153,GZN,KHU,Salam Khel,1102,Khwajaumari,????? ????,Ghazni,????,11
26,CSO AIMS Villages (ACSOR),GAZ-098,NA,0,GZN-GAZ-098,1135,Dari,1,2175.706055,33.53687,68.41527,GZN,GAZ,Qala Now Sar Raig (2),1101,Ghazni,????,Ghazni,????,11
31,USAID AIDVillageView,AND-274,NA,0,GZN-AND-274,0,Pashto,2,2073.727051,33.3189,68.4946,GZN,AND,La'liwal,1105,Andar,????,Ghazni,????,11
32,CSO AIMS Villages (ACSOR),QLT-156,NA,0,ZBL-QLT-156,733,Pashto,2,1598.656006,32.0893,66.79675,ZBL,QLT,Naw Khiz,2401,Qalat,????,Zabul,????,24
33,CSO AIMS Villages (ACSOR),QLT-150,NA,0,ZBL-QLT-150,1029,Pashto,2,1611.353027,32.11301,66.90993,ZBL,QLT,Hazari,2401,Qalat,????,Zabul,????,24
34,CSO AIMS Villages (ACSOR),QLT-114,NA,0,ZBL-QLT-114,0,Pashto,2,1572.832031,32.1217,66.92344,ZBL,QLT,Gabro,2401,Qalat,????,Zabul,????,24
35,CSO AIMS Villages (ACSOR),QLT-153,NA,0,ZBL-QLT-153,162,Pashto,2,1559.866943,32.10196,66.91079,ZBL,QLT,Mohammad Tahir,2401,Qalat,????,Zabul,????,24
393,CSO and AIMS Villages,JAG-096,NA,0,GZN-JAG-096,397,Dari,1,2945.052002,32.99475,67.486,GZN,JAG,Sar Ab (3),1113,Jaghuri,??????,Ghazni,????,11
394,CSO and AIMS Villages,JAG-097,NA,0,GZN-JAG-097,54,Dari,1,3139.717041,33.13637,67.27916,GZN,JAG,Sar Qoul (1),1113,Jaghuri,??????,Ghazni,????,11
395,CSO and AIMS Villages,JAG-098,NA,0,GZN-JAG-098,296,Dari,1,2806.288086,33.03098,67.55478,GZN,JAG,Sar Qoul (2),1113,Jaghuri,??????,Ghazni,????,11
